Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Đồng Tháp,Maison en Bambou Phong -Le Vent,"Khanh Hoa Hamlet, Tan Khanh Dong Commune, Sa Dec Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.323327,105.742126&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|10.292274,105.768509|10.293870,105.768387|10.300000,105.766670&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.323327,105.742126|10.323327,105.742126|10.310300,105.748962|10.280833,105.780281|10.290374,105.762939|10.312220,105.745956|10.292930,105.750168|10.298479,105.726501|10.302590,105.746002|10.314413,105.758301&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.290126,105.751747|10.290860,105.768082|10.295613,105.766655|10.300058,105.766487|10.299963,105.759995|10.312220,105.745956|10.298379,105.756989|10.279360,105.744057&signature=RaDDP1yomKmcKp9SDQcQt644XvQ=",nan,nan,#1 of 3 guest houses in Sa Dec,9 ,5.0,nan,5.0,5.0,nan,Excellent,13,https://www.tripadvisor.com/Hotel_Review-g2093913-d12195858-Reviews-Maison_en_Bambou_Phong_Le_Vent-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,"If you’re looking for a guest house in Sa Dec, look no further than Maison en Bambou Phong -Le Vent. Close to Huynh Thuy Le Ancient House (2.7 mi), a popular Sa Dec landmark, Maison en Bambou Phong -Le Vent is a great destination for tourists. Guest rooms offer amenities such as a kitchenette, a mosquito net, and a seating area, and guests can go online with free wifi offered by the guest house. The property also boasts free breakfast, to help make your stay more enjoyable. When you’re feeling hungry, be sure to check out Vuon Sinh Thai Huong Que and Dragon Palace, which are some Vietnamese restaurants that are popular with locals and out-of-towners alike. The staff at Maison en Bambou Phong -Le Vent looks forward to serving you during your upcoming visit.",nan,5.0 of 5 bubbles,Luxury,French,French,8,Vuon Sinh Thai Huong Que,https://www.tripadvisor.com/Restaurant_Review-g2093913-d14027866-Reviews-Vuon_Sinh_Thai_Huong_Que-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,Pho Viet,https://www.tripadvisor.com/Restaurant_Review-g2093913-d13550247-Reviews-Pho_Viet-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,Hu Tieu Ba Sam,https://www.tripadvisor.com/Restaurant_Review-g2093913-d16762734-Reviews-Hu_Tieu_Ba_Sam-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,Quan Oc 96,https://www.tripadvisor.com/Restaurant_Review-g2093913-d27099241-Reviews-Quan_Oc_96-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,Sa Dec Market,https://www.tripadvisor.com/Attraction_Review-g2093913-d5971077-Reviews-Sa_Dec_Market-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,Huynh Thuy Le Ancient House,https://www.tripadvisor.com/Attraction_Review-g2093913-d5029723-Reviews-Huynh_Thuy_Le_Ancient_House-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,KDL Vườn Hồng Tư Tôn,https://www.tripadvisor.com/Attraction_Review-g2093913-d23044668-Reviews-KDL_Vu_n_H_ng_Tu_Ton-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/07/cb/09/notre-chambre.jpg?w=700&h=-1&s=1
Đồng Tháp,Huynh Duc 2 Hotel,"09 Ngo Thoi Nham street Ward 1, Cao Lanh 870000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.459550,105.640129&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|10.457720,105.636314|10.460170,105.632942&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.459550,105.640129|10.468004,105.634193|10.464590,105.633438|10.459550,105.640129|10.462200,105.639000|10.459420,105.633667|10.442656,105.694977|10.461138,105.631393|10.465356,105.634544|10.440450,105.631668&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.466370,105.628807|10.465629,105.633347|10.447240,105.630157&signature=A6kXrvPIcvrDR-hmUneiFBXhSxE=",nan,nan,#1 of 2 special hotels in Cao Lanh,5 ,4.0,nan,3.0,4.0,nan,Very good,15,https://www.tripadvisor.com/Hotel_Review-g737086-d13862046-Reviews-Huynh_Duc_2_Hotel-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,,nan,4.0 of 5 bubbles,Budget,Family,nan,3,Pho Lau Bo Thinh,https://www.tripadvisor.com/Restaurant_Review-g737086-d17395723-Reviews-Pho_Lau_Bo_Thinh-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Hoa Culy Coffee,https://www.tripadvisor.com/Restaurant_Review-g737086-d12145651-Reviews-Hoa_Culy_Coffee-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Nha Hang Viet Ha,https://www.tripadvisor.com/Restaurant_Review-g737086-d19055867-Reviews-Nha_Hang_Viet_Ha-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,công viên Văn Miếu cao lãnh,https://www.tripadvisor.com/Attraction_Review-g737086-d24993499-Reviews-Cong_vien_Van_Mi_u_cao_lanh-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tú Martell Tattoo Studio,https://www.tripadvisor.com/Attraction_Review-g737086-d28137588-Reviews-Tu_Martell_Tattoo_Studio-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/c0/97/b0/phong-them-1-ngu-i-s.jpg?w=700&h=-1&s=1
Đồng Tháp,Ha Anh Hotel,"28 Ton Duc Thang, Cao Lanh Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.464590,105.633438&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|10.460170,105.632942|10.457720,105.636314&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.464590,105.633438|10.468004,105.634193|10.464590,105.633438|10.459550,105.640129|10.462200,105.639000|10.459420,105.633667|10.442656,105.694977|10.461138,105.631393|10.465356,105.634544|10.440450,105.631668&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.466370,105.628807|10.465629,105.633347|10.447240,105.630157&signature=9WxQ4dcuEpacF8qxSPAURliIXYQ=",nan,nan,#1 of 5 hotels in Cao Lanh,4 ,5.0,5.0,nan,5.0,nan,Excellent,14,https://www.tripadvisor.com/Hotel_Review-g737086-d13955647-Reviews-Ha_Anh_Hotel-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,,nan,5.0 of 5 bubbles,nan,nan,nan,3,Pho Lau Bo Thinh,https://www.tripadvisor.com/Restaurant_Review-g737086-d17395723-Reviews-Pho_Lau_Bo_Thinh-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Hoa Culy Coffee,https://www.tripadvisor.com/Restaurant_Review-g737086-d12145651-Reviews-Hoa_Culy_Coffee-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Nha Hang Viet Ha,https://www.tripadvisor.com/Restaurant_Review-g737086-d19055867-Reviews-Nha_Hang_Viet_Ha-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,Tú Martell Tattoo Studio,https://www.tripadvisor.com/Attraction_Review-g737086-d28137588-Reviews-Tu_Martell_Tattoo_Studio-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,công viên Văn Miếu cao lãnh,https://www.tripadvisor.com/Attraction_Review-g737086-d24993499-Reviews-Cong_vien_Van_Mi_u_cao_lanh-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/97/46/c7/ha-anh-hotel.jpg?w=700&h=-1&s=1
Đồng Tháp,Khách sạn Cao Lãnh,"8 Ba Mươi Tháng Tư, TT. Mỹ Thọ, Cao Lãnh, Đồng Tháp, khóm Mỹ Tây, thị trấn Mỹ Thọ, huyện Cao Lãnh, Cao Lanh 81156 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.442656,105.694977&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|10.457720,105.636314|10.460170,105.632942&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.442656,105.694977|10.468004,105.634193|10.464590,105.633438|10.459550,105.640129|10.462200,105.639000|10.459420,105.633667|10.442656,105.694977|10.461138,105.631393|10.465356,105.634544|10.440450,105.631668&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.466370,105.628807|10.465629,105.633347|10.447240,105.630157&signature=5xh1baJOljzTjVm3OiYkft9ovpI=",nan,nan,#2 of 5 hotels in Cao Lanh,1 review,5.0,nan,nan,nan,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g737086-d23027584-Reviews-Khach_s_n_Cao_Lanh-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,,nan,5.0 of 5 bubbles,nan,nan,nan,3,Pho Lau Bo Thinh,https://www.tripadvisor.com/Restaurant_Review-g737086-d17395723-Reviews-Pho_Lau_Bo_Thinh-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Hoa Culy Coffee,https://www.tripadvisor.com/Restaurant_Review-g737086-d12145651-Reviews-Hoa_Culy_Coffee-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Nha Hang Viet Ha,https://www.tripadvisor.com/Restaurant_Review-g737086-d19055867-Reviews-Nha_Hang_Viet_Ha-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,công viên Văn Miếu cao lãnh,https://www.tripadvisor.com/Attraction_Review-g737086-d24993499-Reviews-Cong_vien_Van_Mi_u_cao_lanh-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tú Martell Tattoo Studio,https://www.tripadvisor.com/Attraction_Review-g737086-d28137588-Reviews-Tu_Martell_Tattoo_Studio-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a7/8e/65/khach-s-n-cao-lanh.jpg?w=700&h=-1&s=1
Đồng Tháp,Huynh Duc Hotel,"01 Ngô Thì Nhậm, Phường 01, Cao Lanh 870000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.468004,105.634193&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|10.460170,105.632942|10.457720,105.636314&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.468004,105.634193|10.468004,105.634193|10.464590,105.633438|10.459550,105.640129|10.462200,105.639000|10.459420,105.633667|10.442656,105.694977|10.461138,105.631393|10.465356,105.634544|10.440450,105.631668&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.466370,105.628807|10.465629,105.633347|10.447240,105.630157&signature=BE2YRlNTWuptO9s-zLNuQjABbe0=",nan,nan,#1 of 7 small hotels in Cao Lanh,7 ,4.5,nan,4.5,4.5,nan,Excellent,13,https://www.tripadvisor.com/Hotel_Review-g737086-d9771401-Reviews-Huynh_Duc_Hotel-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,,nan,4.5 of 5 bubbles,Budget,Quaint,"English, Vietnamese",3,Pho Lau Bo Thinh,https://www.tripadvisor.com/Restaurant_Review-g737086-d17395723-Reviews-Pho_Lau_Bo_Thinh-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Hoa Culy Coffee,https://www.tripadvisor.com/Restaurant_Review-g737086-d12145651-Reviews-Hoa_Culy_Coffee-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Nha Hang Viet Ha,https://www.tripadvisor.com/Restaurant_Review-g737086-d19055867-Reviews-Nha_Hang_Viet_Ha-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,Tú Martell Tattoo Studio,https://www.tripadvisor.com/Attraction_Review-g737086-d28137588-Reviews-Tu_Martell_Tattoo_Studio-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,công viên Văn Miếu cao lãnh,https://www.tripadvisor.com/Attraction_Review-g737086-d24993499-Reviews-Cong_vien_Van_Mi_u_cao_lanh-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/4f/54/e7/getlstd-property-photo.jpg?w=700&h=-1&s=1
Đồng Tháp,Wildbird Tram Chim,"Đường Tràm Chim, Khóm 4, Tram Chim Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.686327,105.555725&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.686327,105.555725|10.686327,105.555725|10.671100,105.558220|10.683330,105.566673|10.673714,105.555939|10.673534,105.555931&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.684890,105.556374&signature=HtZFRNjv7J4NpfT42qErS8_zpP8=",nan,nan,#1 of 2 small hotels in Tram Chim,12 ,5.0,5.0,nan,5.0,5.0,Excellent,26,https://www.tripadvisor.com/Hotel_Review-g15122828-d25403589-Reviews-Wildbird_Tram_Chim-Tram_Chim_Dong_Thap_Province_Mekong_Delta.html,,nan,5.0 of 5 bubbles,Romantic,Mid-range,nan,1,Nhà hàng Cơm Niêu Senta,https://www.tripadvisor.com/Restaurant_Review-g15122828-d25398592-Reviews-Nha_hang_Com_Nieu_Senta-Tram_Chim_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/c1/26/33/caption.jpg?w=700&h=-1&s=1
Đồng Tháp,Phuc Hotel,"206, Ton Duc Thang, Cao Lanh Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.462200,105.639000&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|10.457720,105.636314|10.460170,105.632942&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.462200,105.639000|10.468004,105.634193|10.464590,105.633438|10.459550,105.640129|10.462200,105.639000|10.459420,105.633667|10.442656,105.694977|10.461138,105.631393|10.465356,105.634544|10.440450,105.631668&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.466370,105.628807|10.465629,105.633347|10.447240,105.630157&signature=KbhMg_RUnNElKU37KWOLyNGBfO0=",nan,nan,#2 of 7 small hotels in Cao Lanh,4 ,4.0,1.0,3.0,3.0,3.0,Very good,15,https://www.tripadvisor.com/Hotel_Review-g737086-d13949276-Reviews-Phuc_Hotel-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,,nan,4.0 of 5 bubbles,nan,nan,nan,3,Pho Lau Bo Thinh,https://www.tripadvisor.com/Restaurant_Review-g737086-d17395723-Reviews-Pho_Lau_Bo_Thinh-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Hoa Culy Coffee,https://www.tripadvisor.com/Restaurant_Review-g737086-d12145651-Reviews-Hoa_Culy_Coffee-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Nha Hang Viet Ha,https://www.tripadvisor.com/Restaurant_Review-g737086-d19055867-Reviews-Nha_Hang_Viet_Ha-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,công viên Văn Miếu cao lãnh,https://www.tripadvisor.com/Attraction_Review-g737086-d24993499-Reviews-Cong_vien_Van_Mi_u_cao_lanh-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tú Martell Tattoo Studio,https://www.tripadvisor.com/Attraction_Review-g737086-d28137588-Reviews-Tu_Martell_Tattoo_Studio-Cao_Lanh_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,2,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2d/8c/52/16/phuc-hotel.jpg?w=700&h=-1&s=1
Đồng Tháp,The Mandarin Homestay,"325 Long Khanh, 870000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.267220,105.619293&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.267220,105.619293|10.267220,105.619293&signature=RazYJ0wYaelacCWyoZswzH-dIY4=",nan,nan,#1 of 1 limited service property in Lai Vung,10 ,5.0,4.0,5.0,5.0,5.0,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g15521947-d15521495-Reviews-The_Mandarin_Homestay-Lai_Vung_Dong_Thap_Province_Mekong_Delta.html,,nan,5.0 of 5 bubbles,nan,nan,nan,nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d7/eb/e7/the-mandarin-homestay.jpg?w=700&h=-1&s=1
Đồng Tháp,Thao Ngan Hotel,"01-06 An Duong Vuong, Sa Dec Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.310300,105.748962&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|10.292274,105.768509|10.293870,105.768387|10.300000,105.766670&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.310300,105.748962|10.323327,105.742126|10.310300,105.748962|10.280833,105.780281|10.290374,105.762939|10.312220,105.745956|10.292930,105.750168|10.298479,105.726501|10.302590,105.746002|10.314413,105.758301&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.290126,105.751747|10.290860,105.768082|10.295613,105.766655|10.300058,105.766487|10.299963,105.759995|10.312220,105.745956|10.298379,105.756989|10.279360,105.744057&signature=-UDnvz7u5LbfWbMx4kZ_erKgECc=",nan,nan,#2 of 3 guest houses in Sa Dec,20 ,4.0,4.7,5.0,4.5,4.6,Very good,nan,https://www.tripadvisor.com/Hotel_Review-g2093913-d2078648-Reviews-Thao_Ngan_Hotel-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,"If you’re looking for a romantic guest house in Sa Dec, look no further than Thao Ngan Hotel. For those interested in checking out Huynh Thuy Le Ancient House (1.7 mi) while visiting Sa Dec, Thao Ngan Hotel is a short distance away. Thao Ngan Hotel is a romantic guest house offering air conditioning in the rooms, and it is easy to stay connected during your stay as free wifi is offered to guests. If you’re looking for a Vietnamese restaurant, consider a visit to Vuon Sinh Thai Huong Que or Dragon Palace, which are all conveniently located a short distance from Thao Ngan Hotel. The staff at Thao Ngan Hotel looks forward to serving you during your upcoming visit.",nan,4.0 of 5 bubbles,Budget,Modern,nan,8,Vuon Sinh Thai Huong Que,https://www.tripadvisor.com/Restaurant_Review-g2093913-d14027866-Reviews-Vuon_Sinh_Thai_Huong_Que-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,Pho Viet,https://www.tripadvisor.com/Restaurant_Review-g2093913-d13550247-Reviews-Pho_Viet-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,Hu Tieu Ba Sam,https://www.tripadvisor.com/Restaurant_Review-g2093913-d16762734-Reviews-Hu_Tieu_Ba_Sam-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,Quan Oc 96,https://www.tripadvisor.com/Restaurant_Review-g2093913-d27099241-Reviews-Quan_Oc_96-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,Sa Dec Market,https://www.tripadvisor.com/Attraction_Review-g2093913-d5971077-Reviews-Sa_Dec_Market-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,Huynh Thuy Le Ancient House,https://www.tripadvisor.com/Attraction_Review-g2093913-d5029723-Reviews-Huynh_Thuy_Le_Ancient_House-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,KDL Vườn Hồng Tư Tôn,https://www.tripadvisor.com/Attraction_Review-g2093913-d23044668-Reviews-KDL_Vu_n_H_ng_Tu_Ton-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,Tên không xác định,,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/d1/44/a0/twinbett-zimmer.jpg?w=700&h=-1&s=1
Đồng Tháp,Papaya Homestay Sadec,"An Nhon, Chau Thanh, Sa Dec 870000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.258986,105.844246&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.258986,105.844246|10.258986,105.844246|10.280833,105.780281&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.256820,105.917511&signature=hxUcShWFlFTRHgmGdRdrynKDxE4=",nan,nan,#3 of 3 guest houses in Sa Dec,6 ,5.0,5.0,5.0,5.0,5.0,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g2093913-d19458650-Reviews-Papaya_Homestay_Sadec-Sa_Dec_Dong_Thap_Province_Mekong_Delta.html,,nan,5.0 of 5 bubbles,Quaint,Hidden Gem,"English, Vietnamese",1,Paris 1987 Restaurant And Cafe,https://www.tripadvisor.com/Restaurant_Review-g469421-d23238984-Reviews-Paris_1987_Restaurant_And_Cafe-Vinh_Long_Vinh_Long_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ba/95/6c/flower-blooming-for-new.jpg?w=700&h=-1&s=1
